epoch,train_loss,val_loss
1,126.00720336584624,138.42942989077932
2,94.47807151339106,134.8262056536008
3,89.34201629948218,131.72187847082782
4,86.49811267488501,132.3811519281762
5,84.50347406007617,131.43735230547094
6,84.45218442033804,130.97897418965658
7,79.52612444104678,129.68802575629624
8,83.04800679847433,129.8834878385792
9,81.61549231714426,129.37537244227187
10,82.82026280430692,128.70024565442606
11,81.21814476978678,128.23467965034658
12,77.91335528057053,128.77148998178177
13,81.54583949935773,128.16620946152173
14,82.4538605568064,128.0762050664578
15,79.16571203345099,127.40205406523648
16,81.02681595717733,127.20555334244544
17,82.98422567666678,127.06927969719128
18,79.36601623957819,126.734699488592
19,81.19494685582073,126.63414363085558
20,77.36560500549706,127.02536878421334
21,80.79467069114327,126.77932963979143
22,79.86802855882863,126.80408111465631
23,81.25716368581462,126.19800188518767
24,78.52002467168366,126.72706620473501
25,76.97379866525307,127.11388745266603
26,79.29159694516687,126.42492234895595
27,77.11943824868649,126.51996847309881
28,79.77349902341406,126.27816405334467
29,74.8051290987134,126.30888251686191
30,75.51570916538762,126.74962279984523
31,76.23672221008806,126.06999131661021
32,75.71812127868407,126.1562805937799
33,76.81422503698323,126.02354847078938
34,74.47632902505597,125.49236760873673
35,74.40726701786588,126.11157386796789
36,78.24586701524603,126.55268033945725
37,73.74292117695863,125.80269158888093
38,78.48920947274692,125.86417497635047
39,76.94464004061479,126.02121007673304
40,75.55249228288609,125.62353095023002
41,76.84444844228096,125.2494990534513
42,76.1102883601709,124.09728623038033
43,78.70235005946896,124.68620296927854
44,73.7092122226516,125.23627257809562
45,74.38526458376803,124.90577584139368
46,75.11382802633172,124.19099029804981
47,75.20216256851357,126.03944086527113
48,77.29872541214901,124.6255882244431
49,73.67303529389608,125.00613867862684
50,75.18838994143762,125.29600930275112
51,74.22630530232391,125.45049626282544
52,73.30995638429354,124.70271873478889
53,74.9742641957148,123.92619851144467
54,74.19921217544952,125.03473215281139
55,74.29362829088156,125.1613309745172
56,72.58290367037566,124.00752002772163
57,76.05557245983218,123.52378177288432
58,74.40898845225999,124.97487303682654
59,73.81089267611499,123.35434531317694
60,74.2351935004391,122.63415492965547
61,73.87883087384232,124.78804280561242
62,75.4466500940738,123.09075343794395
